session_id,seed_query_id,query
ulysses_mt_0000,15,"Solicito alterar a Lei 12.249 de 11 de junho de 2010 no que se refere a  criação no perímetro desafetado, uma Área de Proteção Ambiental - APA e uma Floresta Estadual."
ulysses_mt_0001,392,"Criação de fundo para prevenção de desastres naturais e e recuperação de seus efeitos, para apoio financeiro aos estados e aos municípios afetados."
ulysses_mt_0002,20,Gostaria de pedir à Consultoria a elaboração de projeto para excetuar a saúde e a educação do limite de gastos com pessoal. 
ulysses_mt_0003,22,altera a emissão e distribuição de valores mobiliários no mercado.
ulysses_mt_0004,441,"Elaborar um projeto de lei que o apostador de jogos em loterias, deverá fornecer o seu CPF e telefone ou e-mail, de modo que seja avisado pelos canais oficias, em resgatar o seu prêmio, no prazo estipulado de 90 dias. Neste caso, ele não precisará apresentar o original, se fornecido o CPF no momento da aposta. Ficando dessa forma, o prêmio nominal ao seu ganhador."
ulysses_mt_0005,691,"O Deputado Daniel Sarmento solicita consulta indagando os seguintes pontos:
- quais as regras distribuição do Fundo Partidário?
- quais as regras de distribuição do Fundo Especial de Financiamento de Campanha?"
ulysses_mt_0006,351,"A deputada gostaria de solicitar um pl para melhorar a segurança dos torcedores nos estádios, pois tem havido muitas brigas e confusões e as famílias não estão podendo frequentar."
ulysses_mt_0007,27,Para criar uma lei geral dos conselhos de fiscalização profissional 
ulysses_mt_0008,52,"Favor elaborar projeto de decreto legislativo para sustar os efeitos da Portaria 666, de 2019, que dispõe sobre o impedimento de ingresso, a repatriação e a deportação sumária de pessoa perigosa ou que tenha praticado ato contrário aos princípios e objetivos dispostos na Constituição Federal."
ulysses_mt_0009,725,Elaborar Projeto de Lei para permitir a posse e o porte de armas de fogo para os advogados que estejam no regular exercício da profissão.
ulysses_mt_0010,599,3-	Reduzir a maioridade penal para menos de 18 anos.
ulysses_mt_0011,40,Elaborar projeto de lei que discipline a classificação indicativa para mostras culturais e exposições de artes 
ulysses_mt_0012,249,Elaboração de proposição que condicione a matrícula em escola pública a estar com vacinação atualizada das crianças
ulysses_mt_0013,422,Solicitamos a elaboração de projeto de lei proibindo o assédio moral nas relações de trabalho.
ulysses_mt_0014,528,Dar anistia aos estudantes para as dívidas do Fies.
ulysses_mt_0015,714,Elaborar Projeto de Lei para prever os postos de oficiais-generais nas Polícias Militares e nos Corpos de Bombeiros Militares.
ulysses_mt_0016,282,Vedar a oferta de cursos superiores na modalidade EAD para a área de saúde
ulysses_mt_0017,203,Solicito a elaboração de projeto de lei para permitir o uso do FGTS para o pagamento de mensalidade escolar
ulysses_mt_0018,549,Torna obrigatória estabelece multas em caso de descumprimento da classificação indicativa para manifestações culturais que agridam os valores da família.
ulysses_mt_0019,241,Elaborar projeto de lei ampliando o prazo da licença paternidade
ulysses_mt_0020,123,Consulta sobre juros praticados nos cartões de crédito.
ulysses_mt_0021,631,AUMENTAR O PRAZO DE INTERNAÇÃO NOS ATOS INFRACIONAIS EQUIPARADOS A CRIMES HEDIONDOS
ulysses_mt_0022,715,"Alterações na Lei de Regularização Fundiária , Lei 11.952/19, para: Permitir a regularização de terras em todo o Brasil, e não só na Amazônia Legal. 
"
ulysses_mt_0023,335,Solicito projeto de lei para conceder incentivos à instalação de pontos de recarga de baterias de veículos elétricos.
ulysses_mt_0024,541,"Estabelecer equivalência automática de diplomas para países do Mercosul e para Portugal, sem que seja necessário reconhecer os diplomas de nível superior destes países no Brasil."
ulysses_mt_0025,157,"Impedir a retirada de conteúdo da internet sem ordem judicial. Muitas plataformas de internet utilizam seus termos de serviço para retirarem conteúdo de suas redes, o que é contrário à liberdade de expressão. As plataformas, em especial as redes sociais, se tornaram arenas públicas de debate."
ulysses_mt_0026,493,Projeto de lei versando sobre descarte de medicamentos vencidos.
ulysses_mt_0027,146,Projeto de lei para permitir a desaposentação e recálculo da aposentadoria.
ulysses_mt_0028,199,projeto de lei para criar multa diária caso o cadastro do consumidor não seja excluído do banco de dados de cadastro positivo
ulysses_mt_0029,681,"Solicito a elaboração de uma proposição legislativa objetivando garantir recursos ( por exemplo, pela criação de um fundo de promoção da igualdade racial) para políticas afirmativas destinadas a promover a igualdade de condições para a população negra brasileira."
ulysses_mt_0030,331,Projeto de Decreto legislativo para sustar o reajuste das tarifas de energia elétrica em Pernambuco.
ulysses_mt_0031,98,Solicito PL sobre proteção de cavernas.
ulysses_mt_0032,236,"Solicito minuta de proposição que permita a prática de pesca esportiva, na modalidade pesque e solte , em unidades de conservação de proteção integral. "
ulysses_mt_0033,476,projeto de lei que redefina o ato cooperativo.
ulysses_mt_0034,284,"estabelecer uma legislação para incentivar a implantação da internet das coisas (internet of things) para possibilitar a oferta de novos produtos e serviços, como forma de promover o crescimento econômico"
ulysses_mt_0035,111,"Indicação para o ministério da saúde para incorporar o medicamento zolgensma, para tratamento da atrofia muscular espinhal"
ulysses_mt_0036,113,Elaboração de PEC para aumentar a remuneração dos agentes comunitários da saúde na constituição
ulysses_mt_0037,266,Alterar a lei de locações para fixar o IPCA como índice de reajuste dos aluguéis de imóveis residenciais.
ulysses_mt_0038,696,"Solicita-se projeto de lei para definir que o índice admitido de alcoolemia na direção de veículo deve ser de 0,5 gramas por litro"
ulysses_mt_0039,250,"PL que torne o Serviço Militar facultativo. 
"
ulysses_mt_0040,374,Elaborar proposição cabível para proibir a nomeação em cargo ou função comissionada de pessoa condenada por violência doméstica.
ulysses_mt_0041,165,exportação de commodities
ulysses_mt_0042,168,liquidação extrajudicial
ulysses_mt_0043,170,lei das sociedades anônimas
ulysses_mt_0044,174,defesa da concorrência
ulysses_mt_0045,175,"Possibilitar dedução do imposto de renda de pessoa física de doações para atividades de CTI (ciência, tecnologia e inovação) indicadas em cadastro criado para tal finalidade. "
ulysses_mt_0046,177,Pl para facilitar o financiamento imobiliário para famílias 
ulysses_mt_0047,197,Regulamentar a profissão de garçom
ulysses_mt_0048,306,"Prezados, a pedido do Deputado, solicitamos a elaboração de projeto que preveja a concessão de descontos em restaurantes a la carte para pessoas que tenham feito cirurgia de redução de estomago"
ulysses_mt_0049,220,"Elaborar projeto de lei para estabelecer identificação do motociclista e passageiro.
Pode ser no capacete, colete ou outro acessório."
ulysses_mt_0050,501,projeto de lei para limitar o juros do cheque especial
ulysses_mt_0051,223,Gratuidade para obtenção da carteira de motorista (CNH) para pessoas de baixa renda. 
ulysses_mt_0052,254,Projeto de lei para adicionar a disciplina da educação moral e cívica na grade escolar do ensino fundamental
ulysses_mt_0053,595,Aumentar a pena do crime de maus-tratos aos animais.
ulysses_mt_0054,304,Gostaria que fosse analisada a viabilidade da apresentação de um projeto para incluir a totalidade do Estado do Espírito Santo no âmbito de atuação da Superintendência do Desenvolvimento do Nordeste
ulysses_mt_0055,695,"permitir a compra de terras por estrangeiros pessoas físicas ou jurídicas
"
ulysses_mt_0056,480,"Propor o banimento do glifosato, agrotóxico (herbicida) muito utilizado na agricultura.
"
ulysses_mt_0057,615,PL para medidas de prevenção à violência sexual contra crianças e adolescentes. 
ulysses_mt_0058,321,"Cria carreira agente de trânsito.
"
ulysses_mt_0059,324,vagas pessoas com deficiência em cargos públicos
ulysses_mt_0060,327,"uti neonatal em todos os municípios
"
ulysses_mt_0061,329,"contratação de médicos sem crm
"
ulysses_mt_0062,338,regulamentar a tele educação física
ulysses_mt_0063,340,Regulamentação dos transgêneros no esporte
ulysses_mt_0064,343,Colégios eleitorais de entidades de administração do desporto
ulysses_mt_0065,561,Criação de fundos especiais
ulysses_mt_0066,347,"proibir refrigerante escolas
"
ulysses_mt_0067,350,Solicito elaborar proposição para revogar a reforma trabalhista.
ulysses_mt_0068,370,fornecimento de escovas de dentes pelo SUS e escolas
ulysses_mt_0069,638,Projeto de Lei para regularização fundiária de terras da União. 
ulysses_mt_0070,682,"Projeto de Lei para barreiras sanitárias em terras indígenas, em razão da pandemia covid19. "
ulysses_mt_0071,426,Solicita proposição que proíba Petrobras de praticar PPI
ulysses_mt_0072,430,Conferir ao município de Luziânia o título de Capital Nacional do Café do Cerrado. 
ulysses_mt_0073,432,Conceder desconto para os agricultores que tomaram crédito rural em 2021 por conta da pandemia . 
ulysses_mt_0074,471,Elaborar projeto de lei adotando as seguintes providências: prorrogação de dívidas de crédito rural contratadas por agricultores familiares entre 2020 e 2021.
ulysses_mt_0075,577,Elaboração de proposição que institua o voto facultativo.
ulysses_mt_0076,495,Distribuição de pílula anticoncepcionais e outros contraceptivos pelo SUS.
ulysses_mt_0077,564,Limites de despesas da lei de responsabilidade fiscal
ulysses_mt_0078,519,Reintroduzir período de carência de 18 meses para o Fundo Fies para os contratos atuais.
ulysses_mt_0079,520,Reconhece a cavalgada e o bumba-meu-boi como patrimônio cultural imaterial brasileiro.
ulysses_mt_0080,532,Aumenta o valor do Vale Cultura.
ulysses_mt_0081,536,Meia-entrada nos cinemas para autistas.
ulysses_mt_0082,542,Inscreve o imperador d. Pedro II no livro de heróis e heroínas da pátria.
ulysses_mt_0083,552,Estabelece o Dia Nacional do Contador.
ulysses_mt_0084,565,Contingenciamento de recursos
ulysses_mt_0085,563,Prestação de auxílio financeiro da União
ulysses_mt_0086,571,Critérios para a realização de transferências voluntárias
ulysses_mt_0087,584,"tributar as exportações
"
ulysses_mt_0088,582,dar isenção na compra de automóvel para corretores
ulysses_mt_0089,588,permitir a dedução de gastos com animais no imposto de renda
ulysses_mt_0090,601,"A sentença penal condenatória deve transitar em julgado após a decisão de 2ª instância, com a prisão do condenado."
ulysses_mt_0091,605,Instituir o trabalho obrigatório e forçado do preso.
ulysses_mt_0092,608,Estudo sobre racismo institucional e estrutural. 
ulysses_mt_0093,624,Incluir motivação política no crime de terrorismo.
ulysses_mt_0094,686,TECNOLOGIAS ASSISTIVAS PESSOA COM DEFICIÊNCIA
ulysses_mt_0095,642,Proposição para submeter a demarcação de terras indígenas ao Congresso Nacional. 
ulysses_mt_0096,645,"Parecer Presidência da Câmara, compra de terras por estrangeiros. "
ulysses_mt_0097,666,AUXÍLIO DOENÇA A CARGO DA EMPRESA
ulysses_mt_0098,671,PENSÃO ESPECIAL ÓRFÃOS COVID
ulysses_mt_0099,708,O Deputado Gustavo Binenbojm solicita estudo sobre candidaturas avulsas no direito comparado.
