id,query,user_feedback,extra_results,date_created,num_doc_feedback,extra_results_size
15,"Solicito alterar a Lei 12.249 de 11 de junho de 2010 no que se refere a  criação no perímetro desafetado, uma Área de Proteção Ambiental - APA e uma Floresta Estadual.","[{'id': 'PL 1158/2022', 'class': 'pr', 'score': '263.9735954714763', 'score_normalized': '1.0'}, {'id': 'INC 1366/2022', 'class': 'pr', 'score': '251.33515959366258', 'score_normalized': '0.9166661872471005'}, {'id': 'PL 6988/2013', 'class': 'i', 'score': '173.9023077920463', 'score_normalized': '0.4060986743567981'}, {'id': 'PL 7715/2010', 'class': 'r', 'score': '173.2295985582733', 'score_normalized': '0.40166304435745653'}, {'id': 'INC 637/2011', 'class': 'pr', 'score': '169.62476367747857', 'score_normalized': '0.3778939135990676'}, {'id': 'PL 5334/2013', 'class': 'pr', 'score': '168.32325687313786', 'score_normalized': '0.36931219309360935'}, {'id': 'PL 6293/2016', 'class': 'i', 'score': '167.58663675486966', 'score_normalized': '0.36445515511840065'}, {'id': 'PL 4341/2016', 'class': 'i', 'score': '166.0046019001788', 'score_normalized': '0.3540237221765441'}, {'id': 'INC 3386/2002', 'class': 'pr', 'score': '165.19278933986465', 'score_normalized': '0.34867088923537043'}, {'id': 'INC 1645/2011', 'class': 'pr', 'score': '165.0926783077641', 'score_normalized': '0.3480107890390943'}, {'id': 'INC 850/2011', 'class': 'i', 'score': '161.92354469646486', 'score_normalized': '0.3271145334022287'}]",[],2022-06-24 10:54:39.327499,11,0
20,Gostaria de pedir à Consultoria a elaboração de projeto para excetuar a saúde e a educação do limite de gastos com pessoal. ,"[{'id': 'PLP 319/2013', 'class': 'pr', 'score': '86.06358663081534', 'score_normalized': '1.0'}, {'id': 'PLP 393/2014', 'class': 'r', 'score': '85.9619832248899', 'score_normalized': '0.9969233793380176'}, {'id': 'PLP 251/2005', 'class': 'i', 'score': '83.56089434901776', 'score_normalized': '0.9242167650323293'}, {'id': 'PLP 121/2007', 'class': 'r', 'score': '83.4543541295494', 'score_normalized': '0.9209906542778428'}, {'id': 'PLP 515/2009', 'class': 'r', 'score': '82.28113252046461', 'score_normalized': '0.8854647010805281'}, {'id': 'PLP 360/2013', 'class': 'r', 'score': '81.07151087654267', 'score_normalized': '0.8488365299186008'}, {'id': 'PLP 307/2002', 'class': 'r', 'score': '80.70132000200044', 'score_normalized': '0.8376268969036417'}, {'id': 'PL 6814/2013', 'class': 'r', 'score': '80.29426056119658', 'score_normalized': '0.825300858471905'}, {'id': 'PLP 75/2019', 'class': 'r', 'score': '80.26140517322011', 'score_normalized': '0.8243059748399524'}, {'id': 'PLP 95/2003', 'class': 'r', 'score': '79.00852840300969', 'score_normalized': '0.7863680088531008'}, {'id': 'PDL 213/2019', 'class': 'i', 'score': '78.643615797967', 'score_normalized': '0.7753182054506816'}, {'id': 'PLP 268/2005', 'class': 'i', 'score': '78.23712577738615', 'score_normalized': '0.7630094094529708'}]","['PLP 106/2019', 'PLP 53/2019', 'PLP 152/2019', 'PLP 209/2015', 'PLP 382/2006', 'PLP 264/2005', 'PLP 150/2012', 'PLP 14/2022', 'PLP 276/2013', 'PLP 36/2007', 'PLP 92/2011', 'PLP 331/2006', 'PLP 328/2006', 'PLP 438/2017', 'PLP 145/2012', 'PLP 227/2016']",2022-06-24 12:43:28.550627,12,16
22,altera a emissão e distribuição de valores mobiliários no mercado.,"[{'id': 'PLP 140/2004', 'class': 'r', 'score': '85.16456293453216', 'score_normalized': '1.0'}, {'id': 'PL 4546/2004', 'class': 'i', 'score': '59.335400327056725', 'score_normalized': '0.5383205888035631'}, {'id': 'INC 519/2019', 'class': 'pr', 'score': '59.38505414508333', 'score_normalized': '0.5392081183692156'}, {'id': 'PL 3643/2008', 'class': 'i', 'score': '57.74582645684424', 'score_normalized': '0.509907994109512'}, {'id': 'PLP 211/2019', 'class': 'i', 'score': '56.339686027657805', 'score_normalized': '0.48477415236357746'}, {'id': 'INC 3151/2012', 'class': 'pr', 'score': '56.34320583358105', 'score_normalized': '0.48483706659548137'}, {'id': 'PL 6558/2013', 'class': 'r', 'score': '56.1005033437209', 'score_normalized': '0.4804989181112516'}, {'id': 'PL 4707/2012', 'class': 'i', 'score': '54.51844066211049', 'score_normalized': '0.4522205810075022'}, {'id': 'PL 2081/2021', 'class': 'i', 'score': '53.98372105563858', 'score_normalized': '0.4426628172958868'}, {'id': 'PL 2631/2021', 'class': 'r', 'score': '54.010450247652315', 'score_normalized': '0.44314058414486257'}, {'id': 'PL 961/2007', 'class': 'pr', 'score': '53.069996429329535', 'score_normalized': '0.4263305864031998'}, {'id': 'PL 594/2007', 'class': 'r', 'score': '52.92438055901698', 'score_normalized': '0.4237277978309021'}]","['MPV 1103/2022', 'MPV 1072/2021']",2022-06-24 13:44:42.285506,12,2
27,Para criar uma lei geral dos conselhos de fiscalização profissional ,"[{'id': 'INC 5598/2018', 'class': 'pr', 'score': '66.37792415632346', 'score_normalized': '1.0'}, {'id': 'INC 604/2019', 'class': 'pr', 'score': '66.37792415632346', 'score_normalized': '1.0'}, {'id': 'INC 5602/2018', 'class': 'pr', 'score': '66.37792415632346', 'score_normalized': '1.0'}, {'id': 'INC 2737/2012', 'class': 'pr', 'score': '60.10965918579359', 'score_normalized': '0.833313292675591'}, {'id': 'INC 4497/2017', 'class': 'pr', 'score': '59.808090545378676', 'score_normalized': '0.8252939310277678'}, {'id': 'PL 2546/2015', 'class': 'pr', 'score': '58.50426943003449', 'score_normalized': '0.7906225108375665'}, {'id': 'INC 368/2003', 'class': 'pr', 'score': '57.54510726273644', 'score_normalized': '0.7651163166660171'}, {'id': 'INC 2940/2016 => PL 5179/2016', 'class': 'pr', 'score': '57.50930421238489', 'score_normalized': '0.7641642362094111'}, {'id': 'PL 3568/2015', 'class': 'i', 'score': '57.29522129728035', 'score_normalized': '0.7584713089989377'}, {'id': 'PL 4819/2016', 'class': 'i', 'score': '57.24192545881329', 'score_normalized': '0.7570540575154835'}, {'id': 'PL 3443/2012', 'class': 'i', 'score': '56.99744253332793', 'score_normalized': '0.7505527283537794'}, {'id': 'INC 9890/2006', 'class': 'pr', 'score': '56.41217195127558', 'score_normalized': '0.7349891191772676'}]",[],2022-06-26 22:15:18.66484,12,0
40,Elaborar projeto de lei que discipline a classificação indicativa para mostras culturais e exposições de artes ,"[{'id': 'PL 8873/2017', 'class': 'r', 'score': '95.58490872215684', 'score_normalized': '1.0'}, {'id': 'PL 8744/2017', 'class': 'r', 'score': '95.50392748754159', 'score_normalized': '0.998231200984721'}, {'id': 'PL 4325/2020', 'class': 'r', 'score': '94.35420031892424', 'score_normalized': '0.9731187623641945'}, {'id': 'PL 5001/2019', 'class': 'r', 'score': '88.3937506008769', 'score_normalized': '0.8429301125863482'}, {'id': 'PL 8876/2017', 'class': 'r', 'score': '83.56374818938491', 'score_normalized': '0.7374327890417948'}, {'id': 'PL 9230/2017', 'class': 'i', 'score': '83.27526518178146', 'score_normalized': '0.7311317186494002'}, {'id': 'PL 1621/2019', 'class': 'r', 'score': '81.7412901598284', 'score_normalized': '0.6976265057295877'}, {'id': 'PL 9219/2017', 'class': 'r', 'score': '79.15880204565475', 'score_normalized': '0.6412195806558626'}, {'id': 'PL 2596/2015', 'class': 'i', 'score': '78.44197934493229', 'score_normalized': '0.6255626782488847'}, {'id': 'PL 7463/2010', 'class': 'i', 'score': '78.2118135959059', 'score_normalized': '0.6205353783791913'}, {'id': 'PL 7265/2014', 'class': 'i', 'score': '78.1810785362042', 'score_normalized': '0.6198640605906544'}, {'id': 'PL 8615/2017', 'class': 'r', 'score': '78.08562801269855', 'score_normalized': '0.6177792221365754'}]",[],2022-06-27 08:29:55.064989,12,0
52,"Favor elaborar projeto de decreto legislativo para sustar os efeitos da Portaria 666, de 2019, que dispõe sobre o impedimento de ingresso, a repatriação e a deportação sumária de pessoa perigosa ou que tenha praticado ato contrário aos princípios e objetivos dispostos na Constituição Federal.","[{'id': 'PDL 493/2019', 'class': 'r', 'score': '421.1365310545193', 'score_normalized': '1.0'}, {'id': 'PDL 496/2019', 'class': 'r', 'score': '404.759140290466', 'score_normalized': '0.9384158903617685'}, {'id': 'PDL 504/2019', 'class': 'r', 'score': '372.1780439107046', 'score_normalized': '0.8159007815454714'}, {'id': 'PDL 499/2019', 'class': 'r', 'score': '371.29532797750454', 'score_normalized': '0.8125814936568949'}, {'id': 'PDL 498/2019', 'class': 'r', 'score': '364.22357379064', 'score_normalized': '0.7859894869414917'}, {'id': 'PDL 501/2019', 'class': 'r', 'score': '363.56970567736613', 'score_normalized': '0.7835307384047477'}, {'id': 'PDL 500/2019', 'class': 'r', 'score': '348.74677200746066', 'score_normalized': '0.7277918734390709'}, {'id': 'PDL 494/2019', 'class': 'r', 'score': '335.4654308073729', 'score_normalized': '0.6778498781363629'}, {'id': 'PL 5326/2019', 'class': 'r', 'score': '334.81576187250454', 'score_normalized': '0.67540691982329'}, {'id': 'PDL 62/2022', 'class': 'i', 'score': '304.9678732516526', 'score_normalized': '0.5631695267135872'}, {'id': 'PDL 18/2020', 'class': 'i', 'score': '202.99129328698555', 'score_normalized': '0.17970570322955698'}, {'id': 'PDL 77/2022', 'class': 'i', 'score': '200.33135793639977', 'score_normalized': '0.16970351468676248'}]",[],2022-06-27 11:41:50.357246,12,0
98,Solicito PL sobre proteção de cavernas.,"[{'id': 'PDL 5/2022', 'class': 'r', 'score': '52.58282181898146', 'score_normalized': '1.0'}, {'id': 'PDL 9/2022', 'class': 'r', 'score': '52.3420351955035', 'score_normalized': '0.9912535014191338'}, {'id': 'PDL 4/2022', 'class': 'r', 'score': '48.27457156406924', 'score_normalized': '0.8435041606700581'}, {'id': 'PDL 13/2022', 'class': 'r', 'score': '46.416630857781946', 'score_normalized': '0.776015047212878'}, {'id': 'PDL 8/2022', 'class': 'r', 'score': '44.08392907591073', 'score_normalized': '0.6912803865825787'}, {'id': 'PL 32/2022', 'class': 'r', 'score': '43.69833142105319', 'score_normalized': '0.6772736727033689'}, {'id': 'PL 4630/2009', 'class': 'r', 'score': '40.13179521176342', 'score_normalized': '0.5477203634597755'}, {'id': 'PL 7182/2014', 'class': 'r', 'score': '40.12338010304631', 'score_normalized': '0.5474146872748242'}, {'id': 'PL 855/2011', 'class': 'r', 'score': '40.120577680637865', 'score_normalized': '0.5473128901597504'}, {'id': 'PL 2316/2021', 'class': 'i', 'score': '38.873777225285636', 'score_normalized': '0.5020232546482505'}, {'id': 'PDL 6/2022', 'class': 'r', 'score': '38.842286460758665', 'score_normalized': '0.500879362503134'}, {'id': 'PDC 1138/2008', 'class': 'r', 'score': '38.66472248943033', 'score_normalized': '0.49442940693332893'}]","['PDL 16/2022', 'PL 5071/1990', 'PL 2832/2003', 'PL 2047/2007']",2022-06-28 15:00:40.354319,12,4
111,"Indicação para o ministério da saúde para incorporar o medicamento zolgensma, para tratamento da atrofia muscular espinhal","[{'id': 'INC 215/2019', 'class': 'r', 'score': '148.6309956283135', 'score_normalized': '1.0'}, {'id': 'INC 3939/2017', 'class': 'r', 'score': '148.42173768467092', 'score_normalized': '0.997312491060227'}, {'id': 'PL 1531/2021', 'class': 'r', 'score': '143.68028519413747', 'score_normalized': '0.9364178089563957'}, {'id': 'INC 1286/2020', 'class': 'r', 'score': '140.40608416543918', 'score_normalized': '0.894367101671087'}, {'id': 'INC 723/2020', 'class': 'r', 'score': '136.74408899806363', 'score_normalized': '0.8473359372698146'}, {'id': 'INC 3847/2017', 'class': 'r', 'score': '136.06633840782936', 'score_normalized': '0.8386315567407678'}, {'id': 'INC 297/2020', 'class': 'r', 'score': '133.9491399422945', 'score_normalized': '0.8114402840734'}, {'id': 'PL 5253/2020', 'class': 'r', 'score': '133.8070756428973', 'score_normalized': '0.8096157460510602'}, {'id': 'INC 571/2021', 'class': 'pr', 'score': '132.11664902884752', 'score_normalized': '0.7879055229732295'}, {'id': 'INC 731/2020', 'class': 'r', 'score': '131.84361439546566', 'score_normalized': '0.7843989272124748'}, {'id': 'INC 794/2021', 'class': 'i', 'score': '131.76532611265307', 'score_normalized': '0.7833934673657621'}, {'id': 'PL 6374/2019', 'class': 'pr', 'score': '129.57163464495096', 'score_normalized': '0.7552197917196779'}]",[],2022-06-28 20:12:06.54672,12,0
113,Elaboração de PEC para aumentar a remuneração dos agentes comunitários da saúde na constituição,"[{'id': 'PEC 323/2009', 'class': 'r', 'score': '88.0928963637793', 'score_normalized': '1.0'}, {'id': 'PL 7994/2014', 'class': 'pr', 'score': '84.26965174731308', 'score_normalized': '0.9067996180997802'}, {'id': 'PL 1802/2019', 'class': 'pr', 'score': '83.92066372397935', 'score_normalized': '0.8982922322753885'}, {'id': 'INC 6265/2010', 'class': 'pr', 'score': '83.31458712094462', 'score_normalized': '0.883517720955777'}, {'id': 'PL 6681/2009', 'class': 'r', 'score': '83.23685402788311', 'score_normalized': '0.8816227980077616'}, {'id': 'PL 4367/2019', 'class': 'pr', 'score': '83.13928713645561', 'score_normalized': '0.8792443806021116'}, {'id': 'PL 7095/2010', 'class': 'r', 'score': '82.48540560768048', 'score_normalized': '0.8633045142548545'}, {'id': 'PL 7495/2006', 'class': 'r', 'score': '82.19694928548115', 'score_normalized': '0.8562727278829539'}, {'id': 'PL 7363/2010', 'class': 'r', 'score': '81.13012954755456', 'score_normalized': '0.8302665428313286'}, {'id': 'PEC 391/2009', 'class': 'r', 'score': '80.4228847773474', 'score_normalized': '0.813025824725992'}, {'id': 'PEC 22/2011', 'class': 'r', 'score': '80.07506693551991', 'score_normalized': '0.8045469647675113'}, {'id': 'PL 6733/2006', 'class': 'r', 'score': '78.68402023246959', 'score_normalized': '0.7706370016416986'}]",[],2022-06-28 20:20:11.49697,12,0
123,Consulta sobre juros praticados nos cartões de crédito.,"[{'id': 'PL 7277/2002', 'class': 'i', 'score': '61.40687240790685', 'score_normalized': '1.0'}, {'id': 'PLP 326/2016', 'class': 'r', 'score': '58.6146069681693', 'score_normalized': '0.9136826778323135'}, {'id': 'PLP 298/2016', 'class': 'pr', 'score': '58.29516292704045', 'score_normalized': '0.9038077018288653'}, {'id': 'PL 3877/2019', 'class': 'r', 'score': '56.875371041143566', 'score_normalized': '0.8599176647708027'}, {'id': 'PL 6237/2019', 'class': 'r', 'score': '56.8237997721245', 'score_normalized': '0.8583234417506111'}, {'id': 'PLP 95/2019', 'class': 'r', 'score': '56.182871332460145', 'score_normalized': '0.8385104161601282'}, {'id': 'INC 202/2015', 'class': 'r', 'score': '56.009867526925056', 'score_normalized': '0.8331623482414809'}, {'id': 'PLP 140/2015', 'class': 'r', 'score': '55.98313861523453', 'score_normalized': '0.8323360771969203'}, {'id': 'PL 1166/2020', 'class': 'r', 'score': '55.869071600090194', 'score_normalized': '0.8288099227150435'}, {'id': 'PLP 5/2019', 'class': 'r', 'score': '55.56791244481167', 'score_normalized': '0.8195001875229737'}, {'id': 'INC 9125/2006', 'class': 'i', 'score': '54.92577366717181', 'score_normalized': '0.7996497467457123'}, {'id': 'PLP 392/2008', 'class': 'i', 'score': '53.95446186830893', 'score_normalized': '0.7696235779314744'}]","['PL 8421/2015', 'PL 3206/2020', 'PL 2487/2020', 'PL 3684/2020', 'PL 2352/2020', 'PL 3877/2019', 'PL 2520/2020', 'PL 326/2021', 'PL 2653/2020']",2022-06-29 11:40:20.692834,12,9
